salary,existing_loans,credit_score,loan_amount,loan_duration,employment_years,debt_ratio,income_stability,credit_utilization,loan_to_income,approved
66040.83169798463,2515.7214890099945,689,181024.97834585008,12,17.0,45.7121,100.0,29.2727,2.7411,1
45118.21928975554,13946.013510489849,538,32603.728102516427,36,14.5,100.0,96.6667,56.7273,0.7226,0
72302.43761488197,5517.316930076876,679,93264.48976838178,120,2.0,91.5706,13.3333,31.0909,1.2899,0
122249.32842241062,641.513499706953,481,241030.17201938154,120,4.2,6.2971,28.0,67.0909,1.9716,1
42595.673887581106,482.68020860046084,700,31110.440000166614,6,12.0,13.598,80.0,27.2727,0.7304,1
42596.09348534012,3254.588066882039,720,124110.5279737262,12,0.0,91.6869,0.0,23.6364,2.9137,0
126440.57188623733,12293.105515176067,602,350218.0278594393,48,8.3,100.0,55.3333,45.0909,2.7698,0
77688.36926884306,9839.275072166274,659,58325.74610814203,180,14.8,100.0,98.6667,34.7273,0.7508,1
36986.76291047875,12432.591971788781,806,23195.129339761977,240,0.5,100.0,3.3333,8.0,0.6271,1
67882.66819825473,5826.366665721504,609,36018.74084890893,84,0.9,100.0,6.0,43.8182,0.5306,1
37121.41791502799,4641.391295183226,565,102287.98884627926,240,16.2,100.0,100.0,51.8182,2.7555,0
37069.9574330279,1276.2110738150627,768,30500.57847518211,48,3.9,41.3125,26.0,14.9091,0.8228,1
56680.037926584715,3182.2705226589223,807,80710.63433100643,6,0.1,67.3734,0.6667,7.8182,1.424,1
15553.358161108215,4553.563337753865,650,23515.10178627047,60,1.5,100.0,10.0,36.3636,1.5119,0
17414.340292103283,742.1909728204938,730,33389.033926821605,120,3.0,51.1434,20.0,21.8182,1.9173,1
34983.348931521745,1993.969775844904,757,17270.76959426135,84,5.9,68.3972,39.3333,16.9091,0.4937,1
26696.862491432134,7294.910243670088,590,24354.166541649523,12,6.6,100.0,44.0,47.2727,0.9122,0
59192.39794629938,10644.247255277607,611,166628.02348116494,48,26.9,100.0,100.0,43.4545,2.815,0
28429.583504751405,51243.78304507314,748,78258.32175453576,36,1.7,100.0,11.3333,18.5455,2.7527,0
21007.14252674249,21638.044835234523,784,50616.38951715092,180,3.9,100.0,26.0,12.0,2.4095,0
118112.07742518246,8230.41847842298,695,41620.73107398458,240,3.8,83.6197,25.3333,28.1818,0.3524,1
42810.30911367861,4375.050479588782,579,50641.09700637842,6,2.6,100.0,17.3333,49.2727,1.1829,0
51047.75891437118,8088.710366238835,808,101865.22022519844,60,0.9,100.0,6.0,7.6364,1.9955,0
20850.872821056273,12321.221077944741,607,21747.74333599525,24,19.0,100.0,100.0,44.1818,1.043,1
35361.196904394514,1007.5557158882722,623,97451.35947993633,180,9.6,34.1919,64.0,41.2727,2.7559,1
52394.32452365897,4219.772409357831,677,105391.26483061424,48,3.4,96.6465,22.6667,31.4545,2.0115,0
24573.007257953785,14650.772094704244,774,12142.705750970286,60,4.6,100.0,30.6667,13.8182,0.4941,1
61415.57896403489,3873.8973622793055,718,169157.8558929085,180,1.3,75.6921,8.6667,24.0,2.7543,1
34187.5487816446,6786.669569680361,683,98664.23937364068,180,3.9,100.0,26.0,30.3636,2.886,0
41150.18698679921,7089.378260253911,687,20979.33357568263,120,5.9,100.0,39.3333,29.6364,0.5098,1
34165.65001059662,1631.3979036028074,653,59358.46535552189,180,3.6,57.2996,24.0,35.8182,1.7374,1
148950.14188446561,3598.2887563914433,694,166687.65533723502,36,23.2,28.9892,100.0,28.3636,1.1191,1
48625.417410291055,3257.8688327090795,447,66162.92820933722,60,4.7,80.3992,31.3333,73.2727,1.3607,0
25987.565240666136,212.3676417173569,626,20401.753489584702,48,2.3,9.8063,15.3333,40.7273,0.7851,1
80300.16440053123,195.91353016424253,669,149422.11835294432,48,7.4,2.9277,49.3333,32.9091,1.8608,1
23564.433755395705,14255.916897113115,557,68019.78085002853,36,0.9,100.0,6.0,53.2727,2.8865,0
55565.5207233423,2551.4096514402804,680,92144.08190549474,12,2.4,55.1006,16.0,30.9091,1.6583,1
15126.416413260427,5839.796749748165,633,10000.0,60,2.1,100.0,14.0,39.4545,0.6611,0
22094.5968383366,2838.8479206391444,790,43614.81370801993,180,2.8,100.0,18.6667,10.9091,1.974,0
55166.80769438013,22598.368289268183,775,67226.3868801804,6,7.6,100.0,50.6667,13.6364,1.2186,1
76349.7432621399,2401.2417456047547,612,199349.0278662558,84,3.3,37.7407,22.0,43.2727,2.611,1
54329.4093909302,4492.136131348723,637,80061.50191485694,60,7.9,99.22,52.6667,38.7273,1.4736,1
45734.62874657373,16491.571464924742,644,37532.898015013896,24,4.3,100.0,28.6667,37.4545,0.8207,1
40918.5090079731,14757.918967857027,613,33388.896990009125,6,2.1,100.0,14.0,43.0909,0.816,0
20188.871298953643,1647.3561015244957,665,47961.96037001372,36,8.3,97.9167,55.3333,33.6364,2.3757,1
31827.738708016463,12981.94061799035,589,32371.563856548913,180,1.4,100.0,9.3333,47.4545,1.0171,0
37183.36405538949,4902.673171859639,559,88181.46946489807,12,1.3,100.0,8.6667,52.9091,2.3715,0
92436.14268343081,5277.217580430341,699,79115.70065879819,24,3.5,68.5085,23.3333,27.4545,0.8559,1
60244.7658512561,1146.160455183221,700,70399.21364724515,12,1.5,22.8301,10.0,27.2727,1.1686,1
17020.536217674657,672.285136586587,585,26497.823123119597,12,0.0,47.3982,0.0,48.1818,1.5568,1
59542.78338543277,10413.840811611513,721,169496.20167013793,240,5.2,100.0,34.6667,23.4545,2.8466,0
38907.8236600399,5488.7553167748,599,109551.78042467874,120,3.6,100.0,24.0,45.6364,2.8157,0
32658.054609256586,4593.6840331290505,670,28038.70549536006,24,2.9,100.0,19.3333,32.7273,0.8586,0
70756.930853742,10460.108810520303,715,89662.57507179321,84,17.1,100.0,100.0,24.5455,1.2672,1
90998.62845820708,11602.837591739082,647,64006.46503029021,120,4.2,100.0,28.0,36.9091,0.7034,0
85713.7102585103,1384.4354460831958,686,143738.43905354242,24,10.0,19.3822,66.6667,29.8182,1.677,1
29627.832511411376,7537.488103334776,608,45732.71896150601,12,0.8,100.0,5.3333,44.0,1.5436,0
40719.9154354332,1163.481596222998,634,111248.94426565236,120,4.2,34.2873,28.0,39.2727,2.7321,0
59799.82771067245,11134.479102618796,633,168098.1839903452,24,10.1,100.0,67.3333,39.4545,2.811,0
88020.6809172853,8559.152804927551,590,117563.23419733245,84,4.4,100.0,29.3333,47.2727,1.3356,0
36772.12841941747,25101.062287682595,635,59853.71565719032,6,6.3,100.0,42.0,39.0909,1.6277,1
43853.272042502715,571.6072600682583,526,119273.79014277637,60,2.3,15.6414,15.3333,58.9091,2.7198,1
25240.345763645055,469.9762145986997,610,62548.38052293064,180,0.5,22.344,3.3333,43.6364,2.4781,1
23915.355605234483,2652.3703487589123,627,10000.0,24,3.1,100.0,20.6667,40.5455,0.4181,1
79818.89169372799,2427.3018508510654,629,92922.02666871852,84,2.5,36.4921,16.6667,40.1818,1.1642,1
110607.59284799478,2269.2951703658177,630,159141.1486441736,60,10.1,24.62,67.3333,40.0,1.4388,1
46947.908068008706,18937.379793730473,645,43203.059634232035,120,1.4,100.0,9.3333,37.2727,0.9202,1
89511.2628938834,2296.617508508853,688,75085.92878503495,24,17.0,30.7888,100.0,29.4545,0.8388,1
60899.58352645712,2539.081405233558,719,24482.73898959696,24,15.9,50.0315,100.0,23.8182,0.402,1
33287.19765482993,11396.898028777288,598,67809.2923459819,36,1.4,100.0,9.3333,45.8182,2.0371,0
60890.79929015692,4778.912790920456,553,61425.2855924574,24,2.1,94.18,14.0,54.0,1.0088,0
123355.03499344675,11994.291186067678,566,54441.18817148166,180,11.3,100.0,75.3333,51.6364,0.4413,0
47978.31305959022,540.8035100954013,611,44314.88762904717,36,17.0,13.5262,100.0,43.4545,0.9236,1
125340.10900946603,5348.747936829894,621,308984.384817508,60,2.9,51.2086,19.3333,41.6364,2.4652,0
15000.0,273.53219950359863,588,38985.31185668514,120,1.9,21.8826,12.6667,47.6364,2.599,1
80269.21909706436,517.6156120850553,546,128774.21146842635,120,3.7,7.7382,24.6667,55.2727,1.6043,1
51649.10989197778,18953.000945163873,613,73516.8683702645,48,5.8,100.0,38.6667,43.0909,1.4234,0
40970.0089797877,1199.5663923715604,664,120460.22412389006,48,1.6,35.135,10.6667,33.8182,2.9402,1
51795.3919564733,6081.490248497679,697,43587.09550808994,60,6.7,100.0,44.6667,27.8182,0.8415,0
15000.0,4235.931375348491,605,13222.050955611643,240,0.3,100.0,2.0,44.5455,0.8815,0
42967.39568993137,3413.6324447562924,616,46750.30441547026,84,0.3,95.3364,2.0,42.5455,1.088,1
60734.52176068649,18407.359496070614,575,46549.655915649404,240,2.4,100.0,16.0,50.0,0.7664,0
118983.06212093982,176.52039484001224,647,157567.73608800778,84,2.2,1.7803,14.6667,36.9091,1.3243,1
35919.581413017746,8720.147046661516,582,99111.19168323351,36,1.9,100.0,12.6667,48.7273,2.7593,0
30179.067631739457,26460.439835746936,695,59194.405357833195,60,3.4,100.0,22.6667,28.1818,1.9614,0
36277.238094954846,6570.902882246816,507,51232.735599771804,84,1.9,100.0,12.6667,62.3636,1.4123,0
84901.01017353107,22094.451623352954,621,239667.83806765883,48,1.1,100.0,7.3333,41.6364,2.8229,0
